ResponseID,V2,V3,V4,V5,V6,V7,V8,V9,V10,random,Consent,M_G_P_Vign,M_G_P_face,M_G_P_Hap,M_G_P_Cntr,M_G_N_Vign,M_G_N_face,M_G_N_Happ,M_G_N_Cntr,M_B_P_Vign,M_B_P_face,M_B_P_Happ,M_B_P_Cntr,M_B_N_Vign,Q467,M_B_N_Happ,M_B_N_Cntr,S_G_P_Vign,S_G_P_face,S_G_P_Happ,S_G_P_Cntr,S_G_N_Vign,S_G_N_face,S_G_N_Happ,S_G_N_Cntr,S_B_P_Vign,S_B_P_face,S_B_P_Happ,S_B_P_Cntr,S_B_N_Vign,S_B_N_face,S_B_N_Happ,S_B_N_cntr,T_G_P_Vign,T_G_P_face,T_G_P_Happ,T_G_P_Cntr,T_G_N_Vign,T_G_N_face,T_G_N_Happ,T_G_N_Cntr,T_B_P_Vign,T_B_P_face,T_B_P_Happ,T_B_P_Cntr,T_B_N_Vign,T_B_N_face,T_B_N_Happ,T_B_N_Cntr,G_G_P_Vign,G_G_P_Vign,G_G_P_Happ,G_G_P_Cntr,G_G_N_Vign,G_G_N_face,G_G_N_Happ,G_G_N_Cntr,G_B_P_Vign,G_B_P_face,G_B_P_Happ,G_B_P_Cntr,G_B_N_Vign,G_B_N_face,G_B_N_Happ,G_B_N_Cntr,DemoInstr,Age,Gender,Ethnicity,Ethnicity_TEXT,Education,SES,trukID,Code,LocationLatitude,LocationLongitude,LocationAccuracy
R_8itA74Nl9kNCqHz,Default Response Set,Anonymous,,,174.103.214.119,0,4/24/2013 11:14,4/24/2013 11:18,1,8307738,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,Tom is a janitor at a college. He is generally a happy person. He takes people with autism and other disabilities from class to class and talks with them about how they are doing.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,2,5,,5,5,A36MWV5SYCAQPY,1,,,-1
R_eyrF3dOKTXz2npH,Default Response Set,Anonymous,,,,0,4/24/2013 11:16,4/24/2013 11:18,1,2430487,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,"Tom is a janitor a community college. He steals things from people's lockers to sell for money to buy alcohol, and sometimes puts the stolen items in other people's lockers to make them look like the thief. ",,,,,,,,,,,,,,,,,,,,,,19,2,5,,4,4,A3USCHZJ3FORZ2,1,,,-1
R_cOpJI5fg3RvJNjf,Default Response Set,Anonymous,,,143.85.199.241,0,4/24/2013 11:17,4/24/2013 11:19,1,1320517,1,,,,,,,,,,,6,"Obsessed with her status as a celebrity, careless but happy with herself.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1,5,,4,5,A2RWLGWTIB0ETE,1,,,-1
R_1EP5SBu0QjPoU4J,Default Response Set,Anonymous,,,99.0.113.210,0,4/24/2013 11:17,4/24/2013 11:20,1,3590343,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"This person works at a hospital for children as a nurse, which she has always wanted.  She poisons the children and it haunts her, but she still does it.  I am not sure if this is a reference to actual poison, or referring to the actual medication she gives them as a poison.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,5,,5,7,A1ZP4RS55O06NF,1,,,-1
R_56gqelek4bAN8Ud,Default Response Set,Anonymous,,,98.91.55.37,0,4/24/2013 11:25,4/24/2013 11:29,1,7608753,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Tom is a janitor at a college.  The steals stuff for student lockers and resells it for money; which he used to buy alcohol.  He also frames people to prevent for getting caught.,,,,,,,,,,,,,,,,,,36,1,1,,5,7,AVQGY7FCU80XP,1,,,-1
R_3TV3Q8jLDvsVlL7,Default Response Set,Anonymous,,,98.213.161.101,0,4/24/2013 11:28,4/24/2013 11:31,1,2517974,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,His life sounds depressing. He is trying to set a good example and care for his niece. But it sounds like it's becoming a lot to bear.,,,,,,,,,,22,1,5,,5,7,A18K4BXUV7O8U6,1,,,-1
R_beVCu37S1Q29vcp,Default Response Set,Anonymous,,,152.16.8.197,0,4/24/2013 11:33,4/24/2013 11:36,1,9173362,1,,,,,,,,,,,,,,,,,,,,,,,1,"Sarah is a nurse at a hospital. She gives sick children their medicine, but she wonders how much she's really helping them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,2,5,,5,5, A1EA9V559CIG3O,1,,,-1
R_cSbzwVpfLBHXMEJ,Default Response Set,Anonymous,,,199.79.170.163,0,4/24/2013 11:34,4/24/2013 11:37,1,6501270,1,,,,,,3,,Dedicated to her children and not her own happiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,5,,5,4,A3T4KQ6PRAFZC9,1,,,-1
R_9ZZm83qwlzpZX6J,Default Response Set,Anonymous,,,68.7.166.100,0,4/24/2013 11:35,4/24/2013 11:38,1,7104209,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,Garret is a happy guy because he gets to take care of his neice after her parents died. He does second guess himself sometimes as to whether reading nightly stories is all he should do for her.,,,,,,,,,,,,,,32,1,6,asian / white,4,8,AQ4KLMAHPVRY2,1,,,-1
R_bBjvd1f5MVtRZQ1,Default Response Set,Anonymous,,,50.26.205.57,0,4/24/2013 11:37,4/24/2013 11:41,1,3395914,1,,,,,,,,,,,,,,,,,,,7,Sarah is some sort of nurse who gives children medication. And really enjoys doing so.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,5,,2,10,A2EVM42H98T0C3,1,,,-1
R_82kqAtmS2Fp7zIF,Default Response Set,Anonymous,,,144.118.212.16,0,4/24/2013 11:45,4/24/2013 11:46,1,1760096,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,That was shocking. I didn't expect that he would steal and resell it to feed his addiction. ,,,,,,,,,,,,,,,,,,,,,,18,1,5,,4,7,AIDJV8L1QL6FE,1,,,-1
R_cA7I7YCQfjaoM4t,Default Response Set,Anonymous,,,166.137.156.41,0,4/24/2013 11:44,4/24/2013 11:48,1,5234804,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Man lets niece move in after her parents die. He having sexual relations ,,39,1,5,,4,5,A17TREFSJXQPLW,1,,,-1
R_81bjuR4kOSKrvjT,Default Response Set,Anonymous,,,76.78.41.60,0,4/24/2013 11:44,4/24/2013 11:49,1,8441072,1,,,,,,,,,,,,,,,,,,,,,,,,,,6,,Sarah works at a Children's hospital. While she is at work she poisons the kids.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,1,5,,4,6,A1NPGAGW1USJ1M,1,,,-1
